"834","792","OO289815","","19.9000","19.9000","130.0000","100000","1","1"
"841","799","DT321722","","70.0000","45.9000","300.0000","10000","1","1"
"842","800","VV301083","","22.1300","22.1300","160.0000","1000","1","1"
"843","801","GW321699","","75.0000","36.8900","300.0000","10000","1","1"
"848","806","LC321686","","69.0000","45.2500","300.0000","10000","1","1"
"855","813","KJ321665","","69.0000","45.2500","300.0000","10000","1","1"
"857","815","EV334716","","40.0000","26.2300","300.0000","10000","1","1"
"863","821","VH321637","","69.0000","45.2500","300.0000","10000","1","1"
"870","828","VW321625","","85.0000","55.7400","400.0000","10000","1","1"
"876","834","ME334687","","40.0000","26.2300","300.0000","10000","1","1"
"877","835","OI334649","","47.0000","30.8200","300.0000","10000","1","1"
"878","836","FW321614","","100.0000","49.1800","500.0000","10000","1","1"
"884","842","NL306169","","20.4900","20.4900","190.0000","10000","1","1"
"885","843","GH288075","","46.0000","30.1600","300.0000","10000","1","1"
"890","848","XY321606","","55.0000","27.0500","400.0000","9999","1","1"
"897","855","KM288049","","46.0000","30.1600","300.0000","10000","1","1"
"899","857","FP299802","","20.7400","20.7400","160.0000","10000","1","1"
"904","862","DE287490","","47.0000","30.8200","300.0000","10000","1","1"
"911","869","RI321597","","180.0000","88.5200","1000.0000","10000","1","1"
"912","870","RE301907","","20.4900","20.4900","130.0000","10000","1","1"
"918","876","RU287478","","56.0000","36.7200","300.0000","10000","1","1"
"925","883","GJ299822","","21.1500","21.1500","140.0000","10000","1","1"
"932","890","WJ321589","","180.0000","88.5200","1000.0000","10000","1","1"
"941","899","BQ300410","","24.4300","24.4300","140.0000","10000","1","1"
"948","906","PT300050","","21.4400","21.4400","140.0000","10000","1","1"
"953","911","GH287460","","56.0000","36.7200","300.0000","10000","1","1"
"955","913","UL321440","","95.0000","46.7200","1000.0000","10000","1","1"
"962","920","TG303240","","23.7700","23.7700","140.0000","10000","1","1"
"968","926","ET321429","","145.0000","71.3100","800.0000","10000","1","1"
"969","927","KZ287448","","45.0000","29.5100","300.0000","10000","1","1"
"976","934","VP302130","","21.3100","21.3100","160.0000","10000","1","1"
"982","940","UM321401","","170.0000","83.6100","1000.0000","10000","1","1"
"989","947","IU324245","","240.0000","120.4900","400.0000","10000","1","1"
"990","948","KM304056","","24.5900","24.5900","140.0000","10000","1","1"
"997","955","IP321387","","64.9400","49.9500","1000.0000","9999","1","1"
"1004","962","ZF287456","","45.0000","29.5100","300.0000","10000","1","1"
"1011","969","LH302182","","21.3100","21.3100","140.0000","10000","1","1"
"1018","976","GB324212","","120.0000","95.9000","400.0000","10000","1","1"
"1023","981","IQ321341","","120.0000","59.0200","800.0000","10000","1","1"
"1024","982","CN287433","","39.0000","31.9700","300.0000","10000","1","1"
"1031","989","DD337616","","24.5900","24.5900","230.0000","10000","1","1"
"1038","996","WK324184","","160.0000","93.4400","400.0000","10000","1","1"
"1044","1002","OB287423","","39.0000","31.9700","300.0000","10000","1","1"
"1051","1016","JP337607","","23.6100","23.6100","160.0000","10000","1","1"
"1058","1023","RI284468","","43.0000","28.2000","300.0000","10000","1","1"
"1059","1024","YN337595","","19.9000","19.9000","120.0000","10000","1","1"
"1065","1030","PL324121","","160.0000","88.5200","400.0000","100000","1","1"
"1066","1031","MR337581","","25.4100","25.4100","130.0000","10000","1","1"
"1072","1037","ME321303","","215.0000","105.7400","1000.0000","10000","1","1"
"1074","1039","HA320477","","32.0000","20.9800","250.0000","10000","1","1"
"1081","1046","ST324087","","130.0000","63.9300","400.0000","10000","1","1"
"1088","1053","CY338560","","20.4900","20.4900","100.0000","10000","1","1"
"1093","1058","MY321275","","400.0000","196.7200","1000.0000","10000","1","1"
"1100","1065","JX320457","","40.0000","26.2300","300.0000","10000","1","1"
"1102","1067","YY324045","","140.5000","65.5700","400.0000","1000","1","1"
"1108","1073","JL338582","","22.1300","22.1300","100.0000","10000","1","1"
"1114","1079","UQ338458","","23.7700","23.7700","100.0000","10000","1","1"
"1115","1080","TY321244","","400.0000","196.7200","1000.0000","10000","1","1"
"1116","1081","JG324002","","125.3000","83.6100","400.0000","10000","1","1"
"1121","1086","OS321210","","115.0000","56.5600","1000.0000","9999","1","1"
